fname,bbox_n,bbox_w,bbox_h
train-00000,0,0.0,0.0
train-00001,30,63.51235427856445,22.5060437520345
train-00002,0,0.0,0.0
train-00003,26,70.8951319181002,21.780889070951023
train-00004,0,0.0,0.0
train-00005,19,51.11686806929739,24.132323415655843
train-00006,25,103.00513366699221,37.7844270324707
train-00007,7,112.7841273716518,33.48858097621373
train-00008,7,70.19312068394252,35.72774614606585
train-00009,19,117.64854190224095,30.201457776521377
train-00010,1,117.97027587890624,97.83436584472656
train-00011,10,89.18843460083008,25.07333374023437
train-00012,0,0.0,0.0
train-00013,18,62.72898504469129,32.23877970377604
train-00014,3,51.86472574869792,31.227569580078125
train-00015,33,53.72980603304777,15.516911824544273
train-00016,0,0.0,0.0
train-00017,0,0.0,0.0
train-00018,2,140.95608520507812,77.26342391967773
train-00019,5,136.8414276123047,31.458990478515624
train-00020,16,44.26133918762207,21.77975904941559
train-00021,0,0.0,0.0
train-00022,14,78.90714590890067,26.65037100655692
train-00023,0,0.0,0.0
train-00024,3,108.87029520670572,67.47401936848958
train-00025,4,113.79826354980469,42.46603393554688
train-00026,1,48.0,14.666664123535154
train-00027,12,74.03247388203937,28.59753545125325
train-00028,1,132.73443603515622,63.3895263671875
train-00029,13,170.55151279156024,57.63433074951172
train-00030,1,63.25515747070313,38.896087646484375
train-00031,26,53.88649309598482,18.585691745464622
train-00032,0,0.0,0.0
train-00033,0,0.0,0.0
train-00034,13,88.64783829909105,30.258176363431488
train-00035,2,148.9225311279297,76.9981689453125
train-00036,3,128.15218734741208,60.32331339518228
train-00037,0,0.0,0.0
train-00038,26,106.66414436927208,40.47605375143198
train-00039,45,45.16526429918078,17.03346218532986
train-00040,50,46.22615753173828,13.823407745361328
train-00041,26,117.71980813833383,41.63652009230394
train-00042,12,113.76007715861004,45.3091812133789
train-00043,14,44.1047613961356,21.17486436026437
train-00044,4,26.84942626953125,15.559772491455078
train-00045,2,336.4923553466797,58.78007507324219
train-00046,6,80.78429412841797,27.28127543131511
train-00047,0,0.0,0.0
train-00048,12,48.77777671813965,17.000006198883053
train-00049,0,0.0,0.0
train-00050,1,13.333335876464846,18.666671752929688
train-00051,4,46.2086410522461,12.69625473022461
train-00052,33,127.0433236324426,43.7425203034372
train-00053,21,59.91339401971725,23.716680617559533
train-00054,31,62.74995139337355,18.82877799003355
train-00055,3,33.608871459960945,14.193033854166664
train-00056,38,49.72373641164678,19.039210670872734
train-00057,0,0.0,0.0
train-00058,1,35.17241668701172,3.40234375
train-00059,42,48.537743432181216,13.138327734810964
train-00060,48,78.33543562889098,19.166562517484028
train-00061,2,70.66667175292969,16.000030517578125
train-00062,15,32.72857462565104,12.4783816019694
train-00063,0,0.0,0.0
train-00064,5,329.66180419921875,87.18014221191406
train-00065,0,0.0,0.0
train-00066,28,89.65862492152624,27.8926876613072
train-00067,18,76.57352670033771,17.43893422020806
train-00068,0,0.0,0.0
train-00069,29,57.973409455398034,19.812622728018926
train-00070,7,277.6671905517578,68.91339547293526
train-00071,4,28.333335876464844,12.33333969116211
train-00072,1,26.6666259765625,8.0
train-00073,1,73.43522644042969,30.853515625
train-00074,33,58.65681607795484,20.65879709070379
train-00075,6,28.377044041951493,13.258651733398438
train-00076,0,0.0,0.0
train-00077,0,0.0,0.0
train-00078,1,86.4571533203125,51.98405456542969
train-00079,35,51.73905029296875,18.24949417114258
train-00080,0,0.0,0.0
train-00081,1,26.66668701171875,10.666664123535156
train-00082,84,38.91559230713617,24.43395369393485
train-00083,1,163.64404296875,130.6116943359375
train-00084,89,51.78216019105376,19.1121095593056
train-00085,0,0.0,0.0
train-00086,16,56.92651760578156,27.752480149269104
train-00087,1,37.333343505859375,16.0
train-00088,17,102.87556547277114,40.403538647819964
train-00089,12,34.04723485310873,24.866536021232605
train-00090,9,71.41409238179523,46.80904981825086
train-00091,12,72.10648091634114,49.163094838460296
train-00092,1,7.632171630859375,45.74713134765625
train-00093,4,133.6543006896973,39.01591491699219
train-00094,9,67.34563106960721,35.94052124023437
train-00095,21,65.73518825712658,26.248425438290553
train-00096,6,50.22222264607748,19.33333301544189
train-00097,0,0.0,0.0
train-00098,3,78.7190933227539,26.24063491821289
train-00099,0,0.0,0.0
train-00100,0,0.0,0.0
train-00101,8,97.16666603088379,43.83333206176758
train-00102,7,153.48411778041296,57.67553874424526
train-00103,1,133.47450256347656,58.449195861816406
train-00104,2,22.243881225585934,10.195114135742188
train-00105,0,0.0,0.0
train-00106,16,161.2522144317627,64.44247436523439
train-00107,30,40.66664021809896,38.13648681640625
train-00108,1,14.666667938232422,12.0
train-00109,0,0.0,0.0
train-00110,4,118.53156471252441,75.81818771362305
train-00111,1,29.13720703125,158.7843017578125
train-00112,11,205.7121380892667,58.7371018149636
train-00113,8,29.389567017555237,25.46742820739746
train-00114,9,28.544579399956604,14.650318569607206
train-00115,30,13.552582105000816,38.53440310160319
train-00116,29,53.77938842773438,18.949317669046334
train-00117,42,118.28575461251395,48.712122599283845
train-00118,10,145.31144027709962,60.06774291992188
train-00119,9,101.72677188449437,23.788586086697048
train-00120,1,38.66668701171875,14.666666030883787
train-00121,19,41.38923645019531,19.546865362870065
train-00122,39,27.277080829326927,21.457834879557293
train-00123,3,209.111338297526,79.3076171875
train-00124,5,218.03931579589843,34.71288146972656
train-00125,0,0.0,0.0
train-00126,1,44.10256958007813,24.5128173828125
train-00127,2,72.0,26.0
train-00128,0,0.0,0.0
train-00129,0,0.0,0.0
train-00130,2,44.379241943359375,23.213275909423828
train-00131,0,0.0,0.0
train-00132,0,0.0,0.0
train-00133,5,20.266650390625,10.399996948242187
train-00134,10,135.96016311645508,38.530138397216795
train-00135,8,60.00860071182251,28.61788558959961
train-00136,6,57.111111958821624,22.888888359069824
train-00137,3,378.15251668294263,98.410405476888
train-00138,0,0.0,0.0
train-00139,10,65.92128067016601,34.9344762802124
train-00140,8,52.794047355651855,24.62403106689453
train-00141,0,0.0,0.0
train-00142,2,184.3772125244141,64.03936195373535
train-00143,2,72.06890869140625,19.99456787109375
train-00144,12,57.21497217814128,38.617959022521966
train-00145,5,86.605322265625,15.011834716796875
train-00146,3,24.88890584309896,16.888895670572918
train-00147,0,0.0,0.0
train-00148,33,74.1605102076675,38.16237744418058
train-00149,5,81.34948425292968,19.84850616455078
train-00150,12,50.15550104777017,38.92415555318197
train-00151,0,0.0,0.0
train-00152,0,0.0,0.0
train-00153,4,32.45709228515625,7.538246154785156
train-00154,11,168.21300159801137,40.53772458163175
train-00155,3,66.54172261555989,30.746210734049484
train-00156,103,43.07096299847353,14.668278666375912
train-00157,0,0.0,0.0
train-00158,5,49.69841766357422,21.447714233398443
train-00159,0,0.0,0.0
train-00160,0,0.0,0.0
train-00161,0,0.0,0.0
train-00162,2,193.4348297119141,77.68163681030273
train-00163,35,53.33894010271345,30.3193979535784
train-00164,0,0.0,0.0
train-00165,1,107.92205047607422,26.596923828125
train-00166,7,48.74531773158482,25.60562433515276
train-00167,20,35.32211856842041,21.607939529418946
train-00168,13,104.38344838069037,32.16922583946815
train-00169,6,48.24744160970053,33.346753438313804
train-00170,7,81.34352329799107,38.65862601143973
train-00171,2,26.666669368743896,14.666671752929688
train-00172,29,81.78970836770945,36.2004710230334
train-00173,7,47.617895943777896,13.82680593218122
train-00174,0,0.0,0.0
train-00175,13,53.00309636042668,28.976844200721153
train-00176,7,52.49702344621931,30.86934552873884
train-00177,0,0.0,0.0
