Epoch: [0][0/1020] Time 0.64 (0.64)  Data 0.44 (0.44)  Loss 1.741 (1.741)  Protest 0.625 (0.625)  Violence 0.04895 (0.04895)  Vis Attr 0.556 (0.556)
Epoch: [0][100/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.994 (1.013)  Protest 0.812 (0.772)  Violence 0.01799 (0.01916)  Vis Attr 0.880 (0.884)
Epoch: [0][200/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.612 (0.938)  Protest 0.938 (0.798)  Violence 0.00590 (0.01535)  Vis Attr 0.925 (0.890)
Epoch: [0][300/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.839 (0.902)  Protest 0.844 (0.807)  Violence 0.01904 (0.01361)  Vis Attr 0.871 (0.892)
Epoch: [0][400/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.689 (0.868)  Protest 0.812 (0.816)  Violence 0.00763 (0.01291)  Vis Attr 0.933 (0.894)
Epoch: [0][500/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.840 (0.849)  Protest 0.781 (0.820)  Violence 0.01290 (0.01234)  Vis Attr 0.920 (0.897)
Epoch: [0][600/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.602 (0.832)  Protest 0.875 (0.824)  Violence 0.01075 (0.01180)  Vis Attr 0.950 (0.897)
Epoch: [0][700/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.921 (0.821)  Protest 0.750 (0.827)  Violence 0.00510 (0.01125)  Vis Attr 0.918 (0.898)
Epoch: [0][800/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.866 (0.809)  Protest 0.812 (0.831)  Violence 0.01107 (0.01100)  Vis Attr 0.882 (0.899)
Epoch: [0][900/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.442 (0.799)  Protest 0.938 (0.833)  Violence 0.01102 (0.01075)  Vis Attr 0.900 (0.899)
Epoch: [0][1000/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.839 (0.792)  Protest 0.844 (0.836)  Violence 0.01223 (0.01050)  Vis Attr 0.900 (0.900)
Epoch: [0][0/255]	Time 0.49 (0.49)  Loss 0.642 (0.642)  Protest Acc 0.844 (0.844)  Violence MSE 0.00468 (0.00468)  Vis Attr Acc 0.913 (0.913)
Epoch: [0][100/255]	Time 0.47 (0.15)  Loss 0.758 (0.706)  Protest Acc 0.812 (0.853)  Violence MSE 0.00549 (0.00712)  Vis Attr Acc 0.867 (0.912)
Epoch: [0][200/255]	Time 0.26 (0.16)  Loss 0.416 (0.700)  Protest Acc 0.906 (0.852)  Violence MSE 0.00272 (0.00647)  Vis Attr Acc 0.938 (0.911)
 * Loss 0.697 Protest Acc 0.852 Violence MSE 0.00639 Vis Attr Acc 0.910 
best model!!
Epoch: [1][0/1020] Time 0.66 (0.66)  Data 0.48 (0.48)  Loss 0.733 (0.733)  Protest 0.938 (0.938)  Violence 0.00239 (0.00239)  Vis Attr 0.913 (0.913)
Epoch: [1][100/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.749 (0.726)  Protest 0.781 (0.858)  Violence 0.00637 (0.00902)  Vis Attr 0.950 (0.904)
Epoch: [1][200/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.520 (0.693)  Protest 0.938 (0.864)  Violence 0.01166 (0.00880)  Vis Attr 0.913 (0.907)
Epoch: [1][300/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.621 (0.699)  Protest 0.875 (0.867)  Violence 0.00995 (0.00870)  Vis Attr 0.944 (0.906)
Epoch: [1][400/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 1.160 (0.701)  Protest 0.875 (0.867)  Violence 0.00364 (0.00841)  Vis Attr 0.842 (0.906)
Epoch: [1][500/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.906 (0.699)  Protest 0.812 (0.866)  Violence 0.00830 (0.00821)  Vis Attr 0.900 (0.906)
Epoch: [1][600/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.522 (0.698)  Protest 0.812 (0.864)  Violence 0.00616 (0.00800)  Vis Attr 0.825 (0.907)
Epoch: [1][700/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.430 (0.698)  Protest 0.938 (0.865)  Violence 0.00282 (0.00795)  Vis Attr 0.925 (0.907)
Epoch: [1][800/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 1.020 (0.697)  Protest 0.750 (0.865)  Violence 0.01070 (0.00786)  Vis Attr 0.900 (0.907)
Epoch: [1][900/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.487 (0.697)  Protest 0.906 (0.864)  Violence 0.00407 (0.00779)  Vis Attr 0.950 (0.907)
Epoch: [1][1000/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.452 (0.693)  Protest 0.938 (0.865)  Violence 0.01196 (0.00772)  Vis Attr 0.925 (0.908)
Epoch: [1][0/255]	Time 0.49 (0.49)  Loss 0.495 (0.495)  Protest Acc 0.875 (0.875)  Violence MSE 0.01109 (0.01109)  Vis Attr Acc 0.925 (0.925)
Epoch: [1][100/255]	Time 0.11 (0.07)  Loss 0.712 (0.605)  Protest Acc 0.812 (0.896)  Violence MSE 0.00751 (0.00817)  Vis Attr Acc 0.867 (0.914)
Epoch: [1][200/255]	Time 0.07 (0.07)  Loss 0.338 (0.597)  Protest Acc 0.969 (0.901)  Violence MSE 0.00499 (0.00791)  Vis Attr Acc 0.963 (0.913)
 * Loss 0.600 Protest Acc 0.898 Violence MSE 0.00785 Vis Attr Acc 0.913 
best model!!
Epoch: [2][0/1020] Time 0.65 (0.65)  Data 0.47 (0.47)  Loss 0.619 (0.619)  Protest 0.812 (0.812)  Violence 0.00737 (0.00737)  Vis Attr 0.967 (0.967)
Epoch: [2][100/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.655 (0.677)  Protest 0.844 (0.873)  Violence 0.00377 (0.00721)  Vis Attr 0.900 (0.910)
Epoch: [2][200/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.663 (0.659)  Protest 0.812 (0.875)  Violence 0.00857 (0.00752)  Vis Attr 0.887 (0.910)
Epoch: [2][300/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.585 (0.653)  Protest 0.938 (0.880)  Violence 0.00938 (0.00747)  Vis Attr 0.931 (0.909)
Epoch: [2][400/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.783 (0.652)  Protest 0.875 (0.880)  Violence 0.00516 (0.00738)  Vis Attr 0.900 (0.910)
Epoch: [2][500/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.569 (0.655)  Protest 0.844 (0.878)  Violence 0.00465 (0.00747)  Vis Attr 0.900 (0.911)
Epoch: [2][600/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.628 (0.660)  Protest 0.969 (0.877)  Violence 0.01106 (0.00745)  Vis Attr 0.887 (0.910)
Epoch: [2][700/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.397 (0.661)  Protest 0.938 (0.878)  Violence 0.00169 (0.00742)  Vis Attr 0.933 (0.910)
Epoch: [2][800/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.793 (0.664)  Protest 0.812 (0.878)  Violence 0.00235 (0.00734)  Vis Attr 0.900 (0.909)
Epoch: [2][900/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.526 (0.663)  Protest 0.906 (0.877)  Violence 0.03275 (0.00733)  Vis Attr 0.867 (0.910)
Epoch: [2][1000/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.901 (0.660)  Protest 0.875 (0.878)  Violence 0.00450 (0.00734)  Vis Attr 0.909 (0.910)
Epoch: [2][0/255]	Time 0.49 (0.49)  Loss 0.477 (0.477)  Protest Acc 0.906 (0.906)  Violence MSE 0.00264 (0.00264)  Vis Attr Acc 0.913 (0.913)
Epoch: [2][100/255]	Time 0.09 (0.07)  Loss 0.665 (0.586)  Protest Acc 0.875 (0.908)  Violence MSE 0.00284 (0.00546)  Vis Attr Acc 0.878 (0.914)
Epoch: [2][200/255]	Time 0.06 (0.07)  Loss 0.288 (0.572)  Protest Acc 0.906 (0.909)  Violence MSE 0.00295 (0.00502)  Vis Attr Acc 0.988 (0.913)
 * Loss 0.580 Protest Acc 0.908 Violence MSE 0.00494 Vis Attr Acc 0.912 
best model!!
Epoch: [3][0/1020] Time 0.69 (0.69)  Data 0.50 (0.50)  Loss 0.310 (0.310)  Protest 0.875 (0.875)  Violence 0.00356 (0.00356)  Vis Attr 0.950 (0.950)
Epoch: [3][100/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.672 (0.635)  Protest 0.812 (0.886)  Violence 0.01161 (0.00716)  Vis Attr 0.910 (0.912)
Epoch: [3][200/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.605 (0.620)  Protest 0.781 (0.887)  Violence 0.00351 (0.00700)  Vis Attr 0.850 (0.912)
Epoch: [3][300/1020] Time 0.19 (0.19)  Data 0.00 (0.01)  Loss 0.649 (0.642)  Protest 0.969 (0.883)  Violence 0.00850 (0.00728)  Vis Attr 0.864 (0.910)
Epoch: [3][400/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.465 (0.639)  Protest 0.906 (0.883)  Violence 0.00888 (0.00704)  Vis Attr 0.914 (0.911)
Epoch: [3][500/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.406 (0.642)  Protest 0.875 (0.882)  Violence 0.00520 (0.00708)  Vis Attr 0.960 (0.911)
Epoch: [3][600/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.609 (0.646)  Protest 0.750 (0.881)  Violence 0.00427 (0.00719)  Vis Attr 0.955 (0.911)
Epoch: [3][700/1020] Time 0.19 (0.19)  Data 0.01 (0.00)  Loss 0.833 (0.648)  Protest 0.875 (0.882)  Violence 0.00706 (0.00713)  Vis Attr 0.914 (0.911)
Epoch: [3][800/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.744 (0.645)  Protest 0.812 (0.882)  Violence 0.00992 (0.00708)  Vis Attr 0.910 (0.911)
Epoch: [3][900/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.697 (0.640)  Protest 0.875 (0.882)  Violence 0.00262 (0.00702)  Vis Attr 0.920 (0.912)
Epoch: [3][1000/1020] Time 0.19 (0.19)  Data 0.00 (0.00)  Loss 0.878 (0.641)  Protest 0.812 (0.882)  Violence 0.01140 (0.00706)  Vis Attr 0.870 (0.911)
Epoch: [3][0/255]	Time 0.50 (0.50)  Loss 0.446 (0.446)  Protest Acc 0.906 (0.906)  Violence MSE 0.00175 (0.00175)  Vis Attr Acc 0.925 (0.925)
Epoch: [3][100/255]	Time 0.10 (0.07)  Loss 0.692 (0.597)  Protest Acc 0.875 (0.895)  Violence MSE 0.00489 (0.00562)  Vis Attr Acc 0.867 (0.914)
